variable,categorias_distintas,categoria_mas_frecuente,frecuencia_mas_frecuente,missing_count
Neighborhood,25,NAmes,225,0
Exterior2nd,16,VinylSd,504,0
Exterior1st,15,VinylSd,515,0
Condition1,9,Norm,1260,0
SaleType,9,WD,1267,0
HouseStyle,8,1Story,726,0
RoofMatl,8,CompShg,1434,0
Condition2,8,Norm,1445,0
Functional,7,Typ,1360,0
BsmtFinType2,6,Unf,1256,38
RoofStyle,6,Gable,1141,0
BsmtFinType1,6,Unf,430,37
SaleCondition,6,Normal,1198,0
Heating,6,GasA,1428,0
Foundation,6,PConc,647,0
GarageType,6,Attchd,870,81
ExterCond,5,TA,1282,0
LotConfig,5,Inside,1052,0
MSZoning,5,RL,1151,0
GarageCond,5,TA,1326,81
GarageQual,5,TA,1311,81
HeatingQC,5,Ex,741,0
Electrical,5,SBrkr,1334,1
BldgType,5,1Fam,1220,0
FireplaceQu,5,Gd,380,690
LandContour,4,Lvl,1311,0
LotShape,4,Reg,925,0
KitchenQual,4,TA,735,0
MiscFeature,4,Shed,49,1406
Fence,4,MnPrv,157,1179
BsmtCond,4,TA,1311,37
ExterQual,4,TA,906,0
BsmtExposure,4,No,953,38
BsmtQual,4,TA,649,37
LandSlope,3,Gtl,1382,0
PoolQC,3,Gd,3,1453
GarageFinish,3,Unf,605,81
PavedDrive,3,Y,1340,0
MasVnrType,3,BrkFace,445,872
Utilities,2,AllPub,1459,0
Alley,2,Grvl,50,1369
Street,2,Pave,1454,0
CentralAir,2,Y,1365,0
