variable,missing_count,missing_pct,dtype
PoolQC,1453,99.52054794520548,str
MiscFeature,1406,96.30136986301369,str
Alley,1369,93.76712328767123,str
Fence,1179,80.75342465753424,str
MasVnrType,872,59.726027397260275,str
FireplaceQu,690,47.26027397260274,str
LotFrontage,259,17.73972602739726,float64
GarageType,81,5.5479452054794525,str
GarageYrBlt,81,5.5479452054794525,float64
GarageFinish,81,5.5479452054794525,str
GarageQual,81,5.5479452054794525,str
GarageCond,81,5.5479452054794525,str
BsmtExposure,38,2.6027397260273974,str
BsmtFinType2,38,2.6027397260273974,str
BsmtQual,37,2.5342465753424657,str
BsmtCond,37,2.5342465753424657,str
BsmtFinType1,37,2.5342465753424657,str
MasVnrArea,8,0.547945205479452,float64
Electrical,1,0.0684931506849315,str
