variable,dtype,tipo_academico
Id,int64,numerica
MSSubClass,int64,numerica
MSZoning,str,categorica
LotFrontage,float64,numerica
LotArea,int64,numerica
Street,str,categorica
Alley,str,categorica
LotShape,str,categorica
LandContour,str,categorica
Utilities,str,categorica
LotConfig,str,categorica
LandSlope,str,categorica
Neighborhood,str,categorica
Condition1,str,categorica
Condition2,str,categorica
BldgType,str,categorica
HouseStyle,str,categorica
OverallQual,int64,numerica
OverallCond,int64,numerica
YearBuilt,int64,numerica
YearRemodAdd,int64,numerica
RoofStyle,str,categorica
RoofMatl,str,categorica
Exterior1st,str,categorica
Exterior2nd,str,categorica
MasVnrType,str,categorica
MasVnrArea,float64,numerica
ExterQual,str,categorica
ExterCond,str,categorica
Foundation,str,categorica
BsmtQual,str,categorica
BsmtCond,str,categorica
BsmtExposure,str,categorica
BsmtFinType1,str,categorica
BsmtFinSF1,int64,numerica
BsmtFinType2,str,categorica
BsmtFinSF2,int64,numerica
BsmtUnfSF,int64,numerica
TotalBsmtSF,int64,numerica
Heating,str,categorica
HeatingQC,str,categorica
CentralAir,str,categorica
Electrical,str,categorica
1stFlrSF,int64,numerica
2ndFlrSF,int64,numerica
LowQualFinSF,int64,numerica
GrLivArea,int64,numerica
BsmtFullBath,int64,numerica
BsmtHalfBath,int64,numerica
FullBath,int64,numerica
HalfBath,int64,numerica
BedroomAbvGr,int64,numerica
KitchenAbvGr,int64,numerica
KitchenQual,str,categorica
TotRmsAbvGrd,int64,numerica
Functional,str,categorica
Fireplaces,int64,numerica
FireplaceQu,str,categorica
GarageType,str,categorica
GarageYrBlt,float64,numerica
GarageFinish,str,categorica
GarageCars,int64,numerica
GarageArea,int64,numerica
GarageQual,str,categorica
GarageCond,str,categorica
PavedDrive,str,categorica
WoodDeckSF,int64,numerica
OpenPorchSF,int64,numerica
EnclosedPorch,int64,numerica
3SsnPorch,int64,numerica
ScreenPorch,int64,numerica
PoolArea,int64,numerica
PoolQC,str,categorica
Fence,str,categorica
MiscFeature,str,categorica
MiscVal,int64,numerica
MoSold,int64,numerica
YrSold,int64,numerica
SaleType,str,categorica
SaleCondition,str,categorica
SalePrice,int64,numerica
