variable,count,missing_count,missing_pct,min,q1,median,mean,q3,max,std,iqr,skewness,zero_count,zero_pct
Id,1460,0,0.0,1.0,365.75,730.5,730.5,1095.25,1460.0,421.6100093688479,729.5,0.0,0,0.0
MSSubClass,1460,0,0.0,20.0,20.0,50.0,56.897260273972606,70.0,190.0,42.300570993810425,50.0,1.4076567471495591,0,0.0
LotFrontage,1201,259,17.73972602739726,21.0,59.0,69.0,70.04995836802665,80.0,313.0,24.284751774483208,21.0,2.163569142324884,0,0.0
LotArea,1460,0,0.0,1300.0,7553.5,9478.5,10516.828082191782,11601.5,215245.0,9981.26493237915,4048.0,12.207687851233496,0,0.0
OverallQual,1460,0,0.0,1.0,5.0,6.0,6.0993150684931505,7.0,10.0,1.3829965467415934,2.0,0.2169439277628693,0,0.0
OverallCond,1460,0,0.0,1.0,5.0,5.0,5.575342465753424,6.0,9.0,1.1127993367127316,1.0,0.6930674724842182,0,0.0
YearBuilt,1460,0,0.0,1872.0,1954.0,1973.0,1971.267808219178,2000.0,2010.0,30.202904042525258,46.0,-0.613461172488183,0,0.0
YearRemodAdd,1460,0,0.0,1950.0,1967.0,1994.0,1984.8657534246574,2004.0,2010.0,20.645406807709413,37.0,-0.5035620027004709,0,0.0
MasVnrArea,1452,8,0.547945205479452,0.0,0.0,0.0,103.68526170798899,166.0,1600.0,181.0662065872166,166.0,2.669084210182863,861,58.972602739726035
BsmtFinSF1,1460,0,0.0,0.0,0.0,383.5,443.6397260273973,712.25,5644.0,456.0980908409277,712.25,1.685503071910789,467,31.986301369863014
BsmtFinSF2,1460,0,0.0,0.0,0.0,0.0,46.54931506849315,0.0,1474.0,161.31927280654173,0.0,4.255261108933303,1293,88.56164383561645
BsmtUnfSF,1460,0,0.0,0.0,223.0,477.5,567.2404109589041,808.0,2336.0,441.86695529243417,585.0,0.9202684528039037,118,8.082191780821917
TotalBsmtSF,1460,0,0.0,0.0,795.75,991.5,1057.4294520547944,1298.25,6110.0,438.7053244594708,502.5,1.5242545490627664,37,2.5342465753424657
1stFlrSF,1460,0,0.0,334.0,882.0,1087.0,1162.626712328767,1391.25,4692.0,386.5877380410744,509.25,1.3767566220336365,0,0.0
2ndFlrSF,1460,0,0.0,0.0,0.0,0.0,346.99246575342465,728.0,2065.0,436.5284358862568,728.0,0.8130298163023265,829,56.780821917808225
LowQualFinSF,1460,0,0.0,0.0,0.0,0.0,5.844520547945206,0.0,572.0,48.62308143352019,0.0,9.011341288465387,1434,98.21917808219179
GrLivArea,1460,0,0.0,334.0,1129.5,1464.0,1515.463698630137,1776.75,5642.0,525.4803834232025,647.25,1.3665603560164552,0,0.0
BsmtFullBath,1460,0,0.0,0.0,0.0,0.0,0.42534246575342466,1.0,3.0,0.5189106060898065,1.0,0.596066609663168,856,58.63013698630137
BsmtHalfBath,1460,0,0.0,0.0,0.0,0.0,0.057534246575342465,0.0,2.0,0.23875264627921178,0.0,4.103402697955168,1378,94.3835616438356
FullBath,1460,0,0.0,0.0,1.0,2.0,1.5650684931506849,2.0,3.0,0.5509158012954317,1.0,0.036561558402727165,9,0.6164383561643836
HalfBath,1460,0,0.0,0.0,0.0,0.0,0.38287671232876713,1.0,2.0,0.5028853810928914,1.0,0.675897448233722,913,62.534246575342465
BedroomAbvGr,1460,0,0.0,0.0,2.0,3.0,2.8664383561643834,3.0,8.0,0.8157780441442284,1.0,0.21179009627507137,6,0.410958904109589
KitchenAbvGr,1460,0,0.0,0.0,1.0,1.0,1.0465753424657533,1.0,3.0,0.22033819838403068,0.0,4.488396777072859,1,0.0684931506849315
TotRmsAbvGrd,1460,0,0.0,2.0,5.0,6.0,6.517808219178082,7.0,14.0,1.6253932905840505,2.0,0.6763408364355531,0,0.0
Fireplaces,1460,0,0.0,0.0,0.0,1.0,0.613013698630137,1.0,3.0,0.6446663863122295,1.0,0.6495651830548841,690,47.26027397260274
GarageYrBlt,1379,81,5.5479452054794525,1900.0,1961.0,1980.0,1978.5061638868744,2002.0,2010.0,24.689724768590242,41.0,-0.6494146238714679,0,0.0
