variable,median,mean,max,zero_count,zero_pct,interpretacion_preliminar
MasVnrArea,0.0,103.68526170798899,1600.0,861,58.972602739726035,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
BsmtFinSF2,0.0,46.54931506849315,1474.0,1293,88.56164383561645,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
2ndFlrSF,0.0,346.99246575342465,2065.0,829,56.780821917808225,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
LowQualFinSF,0.0,5.844520547945206,572.0,1434,98.21917808219179,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
BsmtFullBath,0.0,0.42534246575342466,3.0,856,58.63013698630137,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
BsmtHalfBath,0.0,0.057534246575342465,2.0,1378,94.3835616438356,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
HalfBath,0.0,0.38287671232876713,2.0,913,62.534246575342465,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
WoodDeckSF,0.0,94.2445205479452,857.0,761,52.12328767123287,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
EnclosedPorch,0.0,21.954109589041096,552.0,1252,85.75342465753425,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
3SsnPorch,0.0,3.4095890410958902,508.0,1436,98.35616438356163,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
ScreenPorch,0.0,15.060958904109588,480.0,1344,92.05479452054794,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
PoolArea,0.0,2.758904109589041,738.0,1453,99.52054794520548,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
MiscVal,0.0,43.489041095890414,15500.0,1408,96.43835616438356,"alta concentración en cero; posible característica ausente en muchas viviendas; candidato a transformación binaria, no eliminar automáticamente"
