variable,skewness,mean,median,min,max,interpretacion
MiscVal,24.476794188821916,43.489041095890414,0.0,0.0,15500.0,sesgo positivo fuerte
PoolArea,14.828373640750588,2.758904109589041,0.0,0.0,738.0,sesgo positivo fuerte
LotArea,12.207687851233496,10516.828082191782,9478.5,1300.0,215245.0,sesgo positivo fuerte
3SsnPorch,10.304342032693112,3.4095890410958902,0.0,0.0,508.0,sesgo positivo fuerte
LowQualFinSF,9.011341288465387,5.844520547945206,0.0,0.0,572.0,sesgo positivo fuerte
KitchenAbvGr,4.488396777072859,1.0465753424657533,1.0,0.0,3.0,sesgo positivo fuerte
BsmtFinSF2,4.255261108933303,46.54931506849315,0.0,0.0,1474.0,sesgo positivo fuerte
ScreenPorch,4.122213743143115,15.060958904109588,0.0,0.0,480.0,sesgo positivo fuerte
BsmtHalfBath,4.103402697955168,0.057534246575342465,0.0,0.0,2.0,sesgo positivo fuerte
EnclosedPorch,3.08987190371177,21.954109589041096,0.0,0.0,552.0,sesgo positivo fuerte
MasVnrArea,2.669084210182863,103.68526170798899,0.0,0.0,1600.0,sesgo positivo fuerte
OpenPorchSF,2.3643417403694404,46.66027397260274,25.0,0.0,547.0,sesgo positivo fuerte
LotFrontage,2.163569142324884,70.04995836802665,69.0,21.0,313.0,sesgo positivo fuerte
SalePrice,1.8828757597682129,180921.19589041095,163000.0,34900.0,755000.0,sesgo positivo fuerte
BsmtFinSF1,1.685503071910789,443.6397260273973,383.5,0.0,5644.0,sesgo positivo fuerte
