variable,categoria,frecuencia,porcentaje,comentario
BsmtCond,Po,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
BsmtFinType2,GLQ,14,0.9589041095890412,categoría poco frecuente; identificar sin agrupar todavía
Condition1,RRAe,11,0.7534246575342466,categoría poco frecuente; identificar sin agrupar todavía
Condition1,PosA,8,0.547945205479452,categoría poco frecuente; identificar sin agrupar todavía
Condition1,RRNn,5,0.3424657534246575,categoría poco frecuente; identificar sin agrupar todavía
Condition1,RRNe,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Condition2,Feedr,6,0.410958904109589,categoría poco frecuente; identificar sin agrupar todavía
Condition2,Artery,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Condition2,RRNn,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Condition2,PosN,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Condition2,PosA,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Condition2,RRAn,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Condition2,RRAe,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Electrical,FuseP,3,0.2054794520547945,categoría poco frecuente; identificar sin agrupar todavía
Electrical,Mix,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
ExterCond,Ex,3,0.2054794520547945,categoría poco frecuente; identificar sin agrupar todavía
ExterCond,Po,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
ExterQual,Fa,14,0.9589041095890412,categoría poco frecuente; identificar sin agrupar todavía
Exterior1st,BrkComm,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Exterior1st,Stone,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Exterior1st,AsphShn,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Exterior1st,ImStucc,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Exterior1st,CBlock,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Exterior2nd,ImStucc,10,0.684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Exterior2nd,Brk Cmn,7,0.4794520547945206,categoría poco frecuente; identificar sin agrupar todavía
Exterior2nd,Stone,5,0.3424657534246575,categoría poco frecuente; identificar sin agrupar todavía
Exterior2nd,AsphShn,3,0.2054794520547945,categoría poco frecuente; identificar sin agrupar todavía
Exterior2nd,Other,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
