variable,categoria,frecuencia,porcentaje,es_missing
Alley,<NA>,1369,93.76712328767123,True
Alley,Grvl,50,3.4246575342465753,False
Alley,Pave,41,2.808219178082192,False
BldgType,1Fam,1220,83.56164383561644,False
BldgType,TwnhsE,114,7.808219178082192,False
BldgType,Duplex,52,3.5616438356164384,False
BldgType,Twnhs,43,2.945205479452055,False
BldgType,2fmCon,31,2.1232876712328768,False
BsmtCond,TA,1311,89.7945205479452,False
BsmtCond,Gd,65,4.4520547945205475,False
BsmtCond,Fa,45,3.0821917808219177,False
BsmtCond,<NA>,37,2.5342465753424657,True
BsmtCond,Po,2,0.136986301369863,False
BsmtExposure,No,953,65.27397260273973,False
BsmtExposure,Av,221,15.136986301369863,False
BsmtExposure,Gd,134,9.178082191780822,False
BsmtExposure,Mn,114,7.808219178082192,False
BsmtExposure,<NA>,38,2.6027397260273974,True
BsmtFinType1,Unf,430,29.45205479452055,False
BsmtFinType1,GLQ,418,28.63013698630137,False
BsmtFinType1,ALQ,220,15.068493150684931,False
BsmtFinType1,BLQ,148,10.136986301369863,False
BsmtFinType1,Rec,133,9.10958904109589,False
BsmtFinType1,LwQ,74,5.068493150684931,False
BsmtFinType1,<NA>,37,2.5342465753424657,True
BsmtFinType2,Unf,1256,86.02739726027397,False
BsmtFinType2,Rec,54,3.6986301369863015,False
BsmtFinType2,LwQ,46,3.1506849315068495,False
BsmtFinType2,<NA>,38,2.6027397260273974,True
BsmtFinType2,BLQ,33,2.26027397260274,False
BsmtFinType2,ALQ,19,1.3013698630136987,False
BsmtFinType2,GLQ,14,0.9589041095890412,False
BsmtQual,TA,649,44.45205479452055,False
BsmtQual,Gd,618,42.32876712328767,False
BsmtQual,Ex,121,8.287671232876713,False
BsmtQual,<NA>,37,2.5342465753424657,True
BsmtQual,Fa,35,2.3972602739726026,False
CentralAir,Y,1365,93.4931506849315,False
CentralAir,N,95,6.506849315068493,False
Condition1,Norm,1260,86.3013698630137,False
Condition1,Feedr,81,5.5479452054794525,False
Condition1,Artery,48,3.287671232876712,False
Condition1,RRAn,26,1.7808219178082192,False
Condition1,PosN,19,1.3013698630136987,False
Condition1,RRAe,11,0.7534246575342466,False
Condition1,PosA,8,0.547945205479452,False
Condition1,RRNn,5,0.3424657534246575,False
Condition1,RRNe,2,0.136986301369863,False
Condition2,Norm,1445,98.97260273972603,False
Condition2,Feedr,6,0.410958904109589,False
Condition2,Artery,2,0.136986301369863,False
Condition2,RRNn,2,0.136986301369863,False
Condition2,PosN,2,0.136986301369863,False
Condition2,PosA,1,0.0684931506849315,False
Condition2,RRAn,1,0.0684931506849315,False
Condition2,RRAe,1,0.0684931506849315,False
Electrical,SBrkr,1334,91.36986301369862,False
Electrical,FuseA,94,6.438356164383562,False
Electrical,FuseF,27,1.8493150684931507,False
Electrical,FuseP,3,0.2054794520547945,False
Electrical,Mix,1,0.0684931506849315,False
Electrical,<NA>,1,0.0684931506849315,True
ExterCond,TA,1282,87.8082191780822,False
ExterCond,Gd,146,10.0,False
ExterCond,Fa,28,1.9178082191780823,False
ExterCond,Ex,3,0.2054794520547945,False
ExterCond,Po,1,0.0684931506849315,False
ExterQual,TA,906,62.054794520547944,False
ExterQual,Gd,488,33.42465753424658,False
ExterQual,Ex,52,3.5616438356164384,False
ExterQual,Fa,14,0.9589041095890412,False
Exterior1st,VinylSd,515,35.273972602739725,False
Exterior1st,HdBoard,222,15.205479452054796,False
Exterior1st,MetalSd,220,15.068493150684931,False
Exterior1st,Wd Sdng,206,14.10958904109589,False
Exterior1st,Plywood,108,7.397260273972603,False
Exterior1st,CemntBd,61,4.178082191780822,False
Exterior1st,BrkFace,50,3.4246575342465753,False
Exterior1st,WdShing,26,1.7808219178082192,False
Exterior1st,Stucco,25,1.7123287671232876,False
Exterior1st,AsbShng,20,1.36986301369863,False
Exterior1st,BrkComm,2,0.136986301369863,False
Exterior1st,Stone,2,0.136986301369863,False
Exterior1st,AsphShn,1,0.0684931506849315,False
Exterior1st,ImStucc,1,0.0684931506849315,False
Exterior1st,CBlock,1,0.0684931506849315,False
Exterior2nd,VinylSd,504,34.52054794520548,False
Exterior2nd,MetalSd,214,14.657534246575343,False
Exterior2nd,HdBoard,207,14.178082191780822,False
Exterior2nd,Wd Sdng,197,13.493150684931507,False
Exterior2nd,Plywood,142,9.726027397260275,False
Exterior2nd,CmentBd,60,4.10958904109589,False
Exterior2nd,Wd Shng,38,2.6027397260273974,False
Exterior2nd,Stucco,26,1.7808219178082192,False
Exterior2nd,BrkFace,25,1.7123287671232876,False
Exterior2nd,AsbShng,20,1.36986301369863,False
Exterior2nd,ImStucc,10,0.684931506849315,False
Exterior2nd,Brk Cmn,7,0.4794520547945206,False
Exterior2nd,Stone,5,0.3424657534246575,False
Exterior2nd,AsphShn,3,0.2054794520547945,False
Exterior2nd,Other,1,0.0684931506849315,False
Exterior2nd,CBlock,1,0.0684931506849315,False
Fence,<NA>,1179,80.75342465753424,True
Fence,MnPrv,157,10.753424657534246,False
Fence,GdPrv,59,4.041095890410959,False
Fence,GdWo,54,3.6986301369863015,False
Fence,MnWw,11,0.7534246575342466,False
FireplaceQu,<NA>,690,47.26027397260274,True
FireplaceQu,Gd,380,26.027397260273972,False
FireplaceQu,TA,313,21.438356164383563,False
FireplaceQu,Fa,33,2.26027397260274,False
FireplaceQu,Ex,24,1.643835616438356,False
FireplaceQu,Po,20,1.36986301369863,False
Foundation,PConc,647,44.31506849315068,False
Foundation,CBlock,634,43.42465753424658,False
Foundation,BrkTil,146,10.0,False
Foundation,Slab,24,1.643835616438356,False
Foundation,Stone,6,0.410958904109589,False
Foundation,Wood,3,0.2054794520547945,False
Functional,Typ,1360,93.15068493150685,False
Functional,Min2,34,2.328767123287671,False
Functional,Min1,31,2.1232876712328768,False
Functional,Mod,15,1.0273972602739725,False
Functional,Maj1,14,0.9589041095890412,False
