variable,n_categorias_sin_missing,n_categorias_con_missing,missing_count,missing_pct,categoria_mas_frecuente,frecuencia_mas_frecuente,porcentaje_mas_frecuente,categoria_menos_frecuente,frecuencia_menos_frecuente,porcentaje_menos_frecuente
Neighborhood,25,25,0,0.0,NAmes,225,15.41095890410959,Blueste,2,0.136986301369863
Exterior2nd,16,16,0,0.0,VinylSd,504,34.52054794520548,CBlock,1,0.0684931506849315
Exterior1st,15,15,0,0.0,VinylSd,515,35.273972602739725,CBlock,1,0.0684931506849315
Condition1,9,9,0,0.0,Norm,1260,86.3013698630137,RRNe,2,0.136986301369863
SaleType,9,9,0,0.0,WD,1267,86.78082191780821,Con,2,0.136986301369863
HouseStyle,8,8,0,0.0,1Story,726,49.726027397260275,2.5Fin,8,0.547945205479452
RoofMatl,8,8,0,0.0,CompShg,1434,98.21917808219179,ClyTile,1,0.0684931506849315
Condition2,8,8,0,0.0,Norm,1445,98.97260273972603,RRAe,1,0.0684931506849315
Functional,7,7,0,0.0,Typ,1360,93.15068493150685,Sev,1,0.0684931506849315
BsmtFinType2,6,7,38,2.6027397260273974,Unf,1256,86.02739726027397,GLQ,14,0.9589041095890412
RoofStyle,6,6,0,0.0,Gable,1141,78.15068493150686,Shed,2,0.136986301369863
BsmtFinType1,6,7,37,2.5342465753424657,Unf,430,29.45205479452055,LwQ,74,5.068493150684931
SaleCondition,6,6,0,0.0,Normal,1198,82.05479452054794,AdjLand,4,0.273972602739726
Heating,6,6,0,0.0,GasA,1428,97.80821917808218,Floor,1,0.0684931506849315
Foundation,6,6,0,0.0,PConc,647,44.31506849315068,Wood,3,0.2054794520547945
GarageType,6,7,81,5.5479452054794525,Attchd,870,59.589041095890416,2Types,6,0.410958904109589
ExterCond,5,5,0,0.0,TA,1282,87.8082191780822,Po,1,0.0684931506849315
LotConfig,5,5,0,0.0,Inside,1052,72.05479452054794,FR3,4,0.273972602739726
MSZoning,5,5,0,0.0,RL,1151,78.83561643835615,C (all),10,0.684931506849315
GarageCond,5,6,81,5.5479452054794525,TA,1326,90.82191780821918,Ex,2,0.136986301369863
GarageQual,5,6,81,5.5479452054794525,TA,1311,89.7945205479452,Po,3,0.2054794520547945
HeatingQC,5,5,0,0.0,Ex,741,50.753424657534254,Po,1,0.0684931506849315
Electrical,5,6,1,0.0684931506849315,SBrkr,1334,91.36986301369862,Mix,1,0.0684931506849315
BldgType,5,5,0,0.0,1Fam,1220,83.56164383561644,2fmCon,31,2.1232876712328768
FireplaceQu,5,6,690,47.26027397260274,Gd,380,26.027397260273972,Po,20,1.36986301369863
LandContour,4,4,0,0.0,Lvl,1311,89.7945205479452,Low,36,2.4657534246575343
LotShape,4,4,0,0.0,Reg,925,63.35616438356164,IR3,10,0.684931506849315
KitchenQual,4,4,0,0.0,TA,735,50.34246575342466,Fa,39,2.671232876712329
MiscFeature,4,5,1406,96.30136986301369,Shed,49,3.356164383561644,TenC,1,0.0684931506849315
Fence,4,5,1179,80.75342465753424,MnPrv,157,10.753424657534246,MnWw,11,0.7534246575342466
BsmtCond,4,5,37,2.5342465753424657,TA,1311,89.7945205479452,Po,2,0.136986301369863
ExterQual,4,4,0,0.0,TA,906,62.054794520547944,Fa,14,0.9589041095890412
BsmtExposure,4,5,38,2.6027397260273974,No,953,65.27397260273973,Mn,114,7.808219178082192
BsmtQual,4,5,37,2.5342465753424657,TA,649,44.45205479452055,Fa,35,2.3972602739726026
LandSlope,3,3,0,0.0,Gtl,1382,94.65753424657535,Sev,13,0.8904109589041096
PoolQC,3,4,1453,99.52054794520548,Gd,3,0.2054794520547945,Fa,2,0.136986301369863
GarageFinish,3,4,81,5.5479452054794525,Unf,605,41.43835616438356,Fin,352,24.10958904109589
PavedDrive,3,3,0,0.0,Y,1340,91.78082191780823,P,30,2.054794520547945
MasVnrType,3,4,872,59.726027397260275,BrkFace,445,30.47945205479452,BrkCmn,15,1.0273972602739725
Utilities,2,2,0,0.0,AllPub,1459,99.93150684931507,NoSeWa,1,0.0684931506849315
Alley,2,3,1369,93.76712328767123,Grvl,50,3.4246575342465753,Pave,41,2.808219178082192
Street,2,2,0,0.0,Pave,1454,99.58904109589041,Grvl,6,0.410958904109589
CentralAir,2,2,0,0.0,Y,1365,93.4931506849315,N,95,6.506849315068493
