variable,correlacion_saleprice,abs_correlacion,interpretacion
OverallQual,0.7909816005838053,0.7909816005838053,fuerte
GrLivArea,0.7086244776126515,0.7086244776126515,fuerte
GarageCars,0.6404091972583519,0.6404091972583519,moderada-alta
GarageArea,0.6234314389183622,0.6234314389183622,moderada-alta
TotalBsmtSF,0.6135805515591943,0.6135805515591943,moderada-alta
1stFlrSF,0.6058521846919153,0.6058521846919153,moderada-alta
FullBath,0.5606637627484453,0.5606637627484453,moderada-alta
TotRmsAbvGrd,0.5337231555820284,0.5337231555820284,moderada-alta
YearBuilt,0.5228973328794967,0.5228973328794967,moderada-alta
YearRemodAdd,0.5071009671113866,0.5071009671113866,moderada-alta
GarageYrBlt,0.4863616774878596,0.4863616774878596,moderada
MasVnrArea,0.47749304709571444,0.47749304709571444,moderada
Fireplaces,0.46692883675152763,0.46692883675152763,moderada
BsmtFinSF1,0.3864198062421535,0.3864198062421535,moderada
LotFrontage,0.35179909657067737,0.35179909657067737,moderada
WoodDeckSF,0.32441344456812926,0.32441344456812926,moderada
2ndFlrSF,0.31933380283206736,0.31933380283206736,moderada
OpenPorchSF,0.31585622711605504,0.31585622711605504,moderada
HalfBath,0.28410767559478256,0.28410767559478256,baja
LotArea,0.2638433538714051,0.2638433538714051,baja
BsmtFullBath,0.22712223313149427,0.22712223313149427,baja
BsmtUnfSF,0.21447910554696928,0.21447910554696928,baja
BedroomAbvGr,0.16821315430073963,0.16821315430073963,baja
KitchenAbvGr,-0.13590737084214105,0.13590737084214105,baja
EnclosedPorch,-0.1285779579259566,0.1285779579259566,baja
ScreenPorch,0.11144657114291112,0.11144657114291112,baja
PoolArea,0.09240354949187318,0.09240354949187318,baja
MSSubClass,-0.08428413512659509,0.08428413512659509,baja
OverallCond,-0.07785589404867797,0.07785589404867797,baja
MoSold,0.046432245223819446,0.046432245223819446,baja
3SsnPorch,0.04458366533574838,0.04458366533574838,baja
YrSold,-0.028922585168736813,0.028922585168736813,baja
LowQualFinSF,-0.02560613000067955,0.02560613000067955,baja
MiscVal,-0.021189579640303213,0.021189579640303213,baja
BsmtHalfBath,-0.01684415429735895,0.01684415429735895,baja
BsmtFinSF2,-0.011378121450215146,0.011378121450215146,baja
