variable,correlacion_saleprice,abs_correlacion,interpretacion
OverallQual,0.7909816005838053,0.7909816005838053,fuerte
GrLivArea,0.7086244776126515,0.7086244776126515,fuerte
GarageCars,0.6404091972583519,0.6404091972583519,moderada-alta
GarageArea,0.6234314389183622,0.6234314389183622,moderada-alta
TotalBsmtSF,0.6135805515591943,0.6135805515591943,moderada-alta
1stFlrSF,0.6058521846919153,0.6058521846919153,moderada-alta
FullBath,0.5606637627484453,0.5606637627484453,moderada-alta
TotRmsAbvGrd,0.5337231555820284,0.5337231555820284,moderada-alta
YearBuilt,0.5228973328794967,0.5228973328794967,moderada-alta
YearRemodAdd,0.5071009671113866,0.5071009671113866,moderada-alta
