variable,dtype,missing_count,missing_pct
PoolQC,str,1453,99.52054794520548
MiscFeature,str,1406,96.30136986301369
Alley,str,1369,93.76712328767123
Fence,str,1179,80.75342465753424
MasVnrType,str,872,59.726027397260275
FireplaceQu,str,690,47.26027397260274
LotFrontage,float64,259,17.73972602739726
GarageType,str,81,5.5479452054794525
GarageYrBlt,float64,81,5.5479452054794525
GarageFinish,str,81,5.5479452054794525
GarageQual,str,81,5.5479452054794525
GarageCond,str,81,5.5479452054794525
BsmtExposure,str,38,2.6027397260273974
BsmtFinType2,str,38,2.6027397260273974
BsmtQual,str,37,2.5342465753424657
BsmtCond,str,37,2.5342465753424657
BsmtFinType1,str,37,2.5342465753424657
MasVnrArea,float64,8,0.547945205479452
Electrical,str,1,0.0684931506849315
