variable,missing_antes,missing_despues,estrategia,valor_imputacion
PoolQC,1453,0,none,None
MiscFeature,1406,0,none,None
Alley,1369,0,none,None
Fence,1179,0,none,None
MasVnrType,872,0,none,None
FireplaceQu,690,0,none,None
LotFrontage,259,0,mediana,69.0
GarageType,81,0,none,None
GarageYrBlt,81,0,cero,0
GarageFinish,81,0,none,None
GarageQual,81,0,none,None
GarageCond,81,0,none,None
BsmtExposure,38,0,none,None
BsmtFinType2,38,0,none,None
BsmtQual,37,0,none,None
BsmtCond,37,0,none,None
BsmtFinType1,37,0,none,None
MasVnrArea,8,0,cero,0
Electrical,1,0,moda,SBrkr
