ccp_alpha,rmse_train_interno,rmse_validation,node_count,max_depth,n_leaves
0.0,0.0,37557.74540720794,1799,22,900
171.49678800856532,63.13802674401351,37559.59953508705,1697,21,849
739.0926124197002,180.5321990969423,37559.01616173713,1583,21,792
1399.0007137854043,269.13598404642346,37531.03613964023,1513,20,757
2360.813704496788,389.8455478948285,37531.1904280583,1433,20,717
3886.509635976346,494.6160258487484,37529.64669784194,1377,20,689
6002.8551035152,618.265459093937,37540.696282856945,1321,20,661
7551.748750870436,729.681640195602,37553.964243223265,1277,19,639
10608.245538891255,870.5371653647119,37553.35930394929,1227,19,614
14134.546752341554,1059.8938390403487,37503.98031373288,1169,19,585
18758.92219842629,1227.15759749655,37468.879868784956,1123,18,562
23599.21484654772,1444.6844890289465,37428.94257988418,1067,18,534
29694.860813708583,1620.6569029430113,37453.72204176172,1027,18,514
34975.0178443778,1826.7018224006342,37544.646905432186,983,18,492
41822.80513918629,1996.8423238838093,37468.23006477537,949,18,475
51413.276231263386,2214.302066878159,37570.98357154058,909,18,455
56538.18700927432,2479.88528371158,37539.304145309536,863,18,432
71377.58743750921,2700.3783479566187,37548.04901462136,827,18,414
88530.51391862547,2999.1853960682106,37672.23555705874,785,18,393
107066.38115631691,3281.792774784533,37571.36338284345,749,17,375
132505.79942897658,3594.5526936992037,37614.992102190714,713,17,357
154596.78015702387,3953.8845399631164,37734.066236360595,675,16,338
196289.95870297367,4356.686910278958,37700.72787327755,637,16,319
232163.7767665912,4780.273499040984,37563.13429324234,601,16,301
280560.11563169165,5289.517819106578,37447.41290632669,561,15,281
338343.147751606,5828.059540887782,37649.103493930364,523,15,262
449752.00863673596,6431.20397712949,37896.53172761082,485,14,243
583940.9350463899,7057.555276954939,37644.342163426685,451,14,226
707295.2908636986,7879.834416398034,37893.55122160156,413,14,207
867895.295377274,8716.361563630244,37625.34538279573,377,14,189
1062792.6206555585,9666.282339348085,37915.05198185936,341,13,171
1266317.489894581,10691.468682820663,37612.01329120117,305,13,153
1648956.1027837258,11850.615558254349,37405.632426594864,269,13,135
2013138.1557815522,13225.33365699002,37427.94625728618,231,12,116
2777814.014165719,14888.484336389982,37193.975211338744,191,11,96
3968921.199455466,16916.242603845312,37413.515124690945,153,11,77
6135101.075147216,19601.035836919833,37114.379359535524,113,9,57
10735178.601085674,22918.20043517464,39169.6660381016,77,8,39
30733522.71278356,30131.882881481528,39011.43077516431,39,6,20
2598335901.5317698,76411.00259447233,80423.4873491259,1,0,1
