feature,importance
num__OverallQual,0.1467663
cat__ExterQual_TA,0.09573721
num__GarageCars,0.08674211
cat__BsmtQual_Ex,0.050003365
num__FullBath,0.040907145
cat__FireplaceQu_None,0.03029575
cat__GarageType_Attchd,0.027460795
num__GrLivArea,0.02685598
cat__KitchenQual_Ex,0.025928184
cat__GarageFinish_Unf,0.02216169
cat__CentralAir_Y,0.020112678
cat__KitchenQual_Gd,0.018087773
cat__KitchenQual_TA,0.016779749
cat__GarageType_Detchd,0.016294008
num__TotRmsAbvGrd,0.015040799
cat__CentralAir_N,0.014871955
cat__ExterQual_Ex,0.014358062
num__1stFlrSF,0.014098564
cat__LandContour_Bnk,0.012966337
cat__Neighborhood_Edwards,0.011710336
num__TotalBsmtSF,0.011400405
cat__GarageQual_TA,0.011385231
num__BsmtFinSF1,0.010154063
num__Fireplaces,0.009673311
cat__MSZoning_RM,0.00940436
num__YearRemodAdd,0.009337912
cat__BsmtFinType1_GLQ,0.009225068
num__2ndFlrSF,0.008219593
cat__Neighborhood_OldTown,0.007997425
cat__MSZoning_RL,0.007797323
num__KitchenAbvGr,0.0073846444
num__YearBuilt,0.00697928
cat__Exterior2nd_ImStucc,0.006516866
num__LotArea,0.005792067
cat__BsmtQual_Gd,0.005543101
cat__BsmtExposure_No,0.005074387
num__HalfBath,0.004923887
num__BedroomAbvGr,0.0045986394
num__OpenPorchSF,0.0045943568
num__GarageArea,0.0045818444
cat__SaleType_WD,0.0043597226
cat__BldgType_1Fam,0.0041159745
cat__Neighborhood_NoRidge,0.004056523
num__GarageYrBlt,0.0038871903
cat__SaleType_New,0.0037841897
cat__GarageCond_TA,0.0037511645
num__PoolArea,0.003520628
cat__PoolQC_Ex,0.0035031065
cat__LandSlope_Gtl,0.003495281
cat__Condition2_PosN,0.003411413
cat__LotShape_Reg,0.0031687776
cat__BsmtExposure_Gd,0.0029929075
num__BsmtFullBath,0.0029796276
num__OverallCond,0.002794908
num__ScreenPorch,0.0024241146
cat__RoofMatl_CompShg,0.00215545
cat__Neighborhood_Crawfor,0.0021398251
cat__PavedDrive_Y,0.0020839993
num__LotFrontage,0.0020623105
cat__HeatingQC_Ex,0.0020209912
cat__LandContour_Lvl,0.0019654217
cat__LotConfig_CulDSac,0.0018971703
cat__Exterior1st_BrkFace,0.00189408
cat__Neighborhood_StoneBr,0.0018873723
cat__Condition1_Feedr,0.0018721144
cat__LandContour_HLS,0.0017893823
cat__Functional_Typ,0.0016269594
cat__Condition1_PosN,0.001606297
cat__SaleCondition_Abnorml,0.0014454628
cat__RoofStyle_Hip,0.0014384496
