variable_original,importance_total
OverallQual,0.1467663
ExterQual,0.11039673
GarageCars,0.08674211
KitchenQual,0.060795706
BsmtQual,0.05618913
GarageType,0.04473292
FullBath,0.040907145
CentralAir,0.034984633
Neighborhood,0.033110578
FireplaceQu,0.032539636
GrLivArea,0.02685598
GarageFinish,0.02384315
MSZoning,0.018897925
LandContour,0.01672114
TotRmsAbvGrd,0.015040799
1stFlrSF,0.014098564
Exterior2nd,0.011439789
TotalBsmtSF,0.011400405
GarageQual,0.011385231
BsmtFinType1,0.010686332
BsmtFinSF1,0.010154063
Fireplaces,0.009673311
YearRemodAdd,0.009337912
BsmtExposure,0.008691197
SaleType,0.0084638335
2ndFlrSF,0.008219593
KitchenAbvGr,0.0073846444
YearBuilt,0.00697928
Condition1,0.006641445
Exterior1st,0.006237611
LotArea,0.005792067
HalfBath,0.004923887
BedroomAbvGr,0.0045986394
OpenPorchSF,0.0045943568
GarageArea,0.0045818444
BldgType,0.0045377444
Condition2,0.004478124
LandSlope,0.0041034715
LotConfig,0.003962356
LotShape,0.003944952
GarageYrBlt,0.0038871903
GarageCond,0.0037511645
PoolArea,0.003520628
PoolQC,0.0035031065
SaleCondition,0.003440417
Functional,0.0030949414
BsmtFullBath,0.0029796276
MasVnrType,0.0029569003
OverallCond,0.002794908
PavedDrive,0.0026212558
ScreenPorch,0.0024241146
Fence,0.0023284056
HouseStyle,0.002328172
RoofStyle,0.0022950307
Foundation,0.002236001
HeatingQC,0.0021993173
RoofMatl,0.00215545
BsmtCond,0.0021443374
LotFrontage,0.0020623105
ExterCond,0.0013465278
MasVnrArea,0.0011706455
Heating,0.0011323888
BsmtUnfSF,0.0011091168
BsmtFinType2,0.001094363
WoodDeckSF,0.0010780084
Alley,0.0008884333
BsmtFinSF2,0.000869989
MoSold,0.00076758576
3SsnPorch,0.000736205
YrSold,0.0005707269
MSSubClass,0.0005113971
EnclosedPorch,0.0005105554
LowQualFinSF,0.00046068075
MiscVal,0.0001955462
BsmtHalfBath,0.0
Electrical,0.0
MiscFeature,0.0
Utilities,0.0
Street,0.0
