indice_original,conjunto,PriceGroup
0,train,grupo2
1,test,grupo2
2,train,grupo2
3,train,grupo2
4,test,grupo2
5,train,grupo2
6,train,grupo2
7,train,grupo2
8,test,grupo2
9,train,grupo2
10,train,grupo2
11,train,grupo2
12,train,grupo2
13,train,grupo2
14,train,grupo2
15,train,grupo2
16,test,grupo2
17,train,grupo1
18,test,grupo2
19,train,grupo2
20,test,grupo2
21,train,grupo2
22,train,grupo2
23,train,grupo2
24,train,grupo2
25,train,grupo2
26,train,grupo2
27,test,grupo2
28,train,grupo2
29,test,grupo1
30,test,grupo1
31,train,grupo2
32,train,grupo2
33,train,grupo2
34,train,grupo2
35,train,grupo2
36,train,grupo2
37,train,grupo2
38,test,grupo2
39,train,grupo1
40,train,grupo2
41,test,grupo2
42,train,grupo2
43,train,grupo2
44,test,grupo2
45,train,grupo2
46,train,grupo2
47,train,grupo2
48,train,grupo2
49,train,grupo2
50,test,grupo2
51,train,grupo2
52,train,grupo2
53,train,grupo2
54,test,grupo2
55,train,grupo2
56,train,grupo2
57,test,grupo2
58,train,grupo2
59,train,grupo2
60,train,grupo2
61,train,grupo2
62,train,grupo2
63,train,grupo2
64,train,grupo2
65,train,grupo2
66,train,grupo2
67,train,grupo2
68,train,grupo1
69,train,grupo2
70,train,grupo2
71,train,grupo2
72,train,grupo2
73,train,grupo2
74,train,grupo2
75,train,grupo1
76,train,grupo2
77,train,grupo2
78,train,grupo2
79,train,grupo2
80,train,grupo2
81,train,grupo2
82,train,grupo2
83,train,grupo2
84,train,grupo2
85,train,grupo2
86,train,grupo2
87,train,grupo2
88,train,grupo1
89,train,grupo2
90,train,grupo2
91,train,grupo1
92,train,grupo2
93,train,grupo2
94,train,grupo2
95,train,grupo2
96,train,grupo2
97,train,grupo1
98,train,grupo1
99,train,grupo2
100,train,grupo2
101,train,grupo2
102,train,grupo2
103,train,grupo2
104,train,grupo2
105,test,grupo2
106,train,grupo1
107,train,grupo2
108,train,grupo2
109,test,grupo2
110,train,grupo2
111,train,grupo2
112,train,grupo2
113,train,grupo2
114,test,grupo2
115,train,grupo2
116,train,grupo2
117,train,grupo2
118,train,grupo2
119,train,grupo2
120,train,grupo2
121,train,grupo1
122,train,grupo2
123,train,grupo2
124,test,grupo2
125,train,grupo1
126,train,grupo2
127,train,grupo1
128,train,grupo2
129,train,grupo2
130,train,grupo2
131,train,grupo2
132,train,grupo2
133,test,grupo2
134,train,grupo2
135,train,grupo2
136,test,grupo2
137,train,grupo2
138,train,grupo2
139,train,grupo2
140,train,grupo2
141,test,grupo2
142,train,grupo2
143,train,grupo2
144,train,grupo2
145,train,grupo2
146,train,grupo2
147,train,grupo2
148,test,grupo2
149,train,grupo2
150,train,grupo2
151,train,grupo2
152,train,grupo2
153,train,grupo2
154,train,grupo2
155,test,grupo1
156,train,grupo2
157,train,grupo2
158,test,grupo2
159,train,grupo2
160,train,grupo2
161,test,grupo2
162,train,grupo2
163,train,grupo2
164,test,grupo2
165,test,grupo2
166,test,grupo2
167,test,grupo2
168,train,grupo2
169,test,grupo2
170,train,grupo2
171,train,grupo2
172,test,grupo2
173,train,grupo2
174,train,grupo2
175,test,grupo2
176,train,grupo2
177,train,grupo2
178,train,grupo3
179,train,grupo1
180,train,grupo2
181,train,grupo2
182,train,grupo2
183,train,grupo2
184,train,grupo2
185,train,grupo2
186,train,grupo2
187,train,grupo2
188,train,grupo2
189,train,grupo2
190,train,grupo2
191,train,grupo2
192,train,grupo2
193,train,grupo2
194,train,grupo2
195,train,grupo2
196,train,grupo2
197,test,grupo2
198,train,grupo2
199,train,grupo2
200,train,grupo2
201,train,grupo2
202,train,grupo2
203,test,grupo2
204,train,grupo2
205,train,grupo2
206,test,grupo2
207,test,grupo2
208,train,grupo2
209,train,grupo2
210,train,grupo1
211,train,grupo2
212,train,grupo2
213,train,grupo2
214,train,grupo2
215,test,grupo2
216,train,grupo2
217,train,grupo2
218,test,grupo2
219,train,grupo2
220,test,grupo2
221,train,grupo2
222,train,grupo2
223,train,grupo1
224,train,grupo2
225,test,grupo2
226,test,grupo2
227,train,grupo2
228,train,grupo2
229,train,grupo2
230,train,grupo2
231,train,grupo2
232,train,grupo1
233,train,grupo2
234,train,grupo2
235,train,grupo1
236,train,grupo2
237,train,grupo2
238,train,grupo2
239,train,grupo2
240,test,grupo2
241,train,grupo2
242,test,grupo1
243,train,grupo2
244,train,grupo2
245,train,grupo2
246,train,grupo2
247,test,grupo2
248,train,grupo2
249,train,grupo2
250,test,grupo1
251,train,grupo2
252,test,grupo2
253,test,grupo2
254,train,grupo2
255,train,grupo2
256,train,grupo2
257,train,grupo2
258,train,grupo2
259,train,grupo1
260,train,grupo2
261,train,grupo2
262,train,grupo2
263,train,grupo2
264,test,grupo1
265,train,grupo2
266,train,grupo2
267,train,grupo2
268,train,grupo2
269,train,grupo2
270,test,grupo2
271,test,grupo2
272,train,grupo2
273,train,grupo2
274,train,grupo2
275,train,grupo2
276,train,grupo2
277,test,grupo2
278,test,grupo2
279,train,grupo2
280,train,grupo2
281,train,grupo2
282,train,grupo2
283,train,grupo2
284,train,grupo2
285,train,grupo2
286,train,grupo2
287,train,grupo1
288,test,grupo2
289,test,grupo2
290,train,grupo2
291,train,grupo2
292,train,grupo2
293,train,grupo2
294,test,grupo2
295,train,grupo2
296,train,grupo2
297,train,grupo2
298,train,grupo2
299,train,grupo2
300,train,grupo2
301,train,grupo2
