kernel,C,grupo,support,precision,recall,f1
linear,0.1,grupo1,25,0.8461538461538461,0.88,0.8627450980392156
linear,0.1,grupo2,265,0.981203007518797,0.9849056603773585,0.983050847457627
linear,0.1,grupo3,2,0.0,0.0,0.0
linear,1.0,grupo1,25,0.6571428571428571,0.92,0.7666666666666667
linear,1.0,grupo2,265,0.98828125,0.9547169811320755,0.9712092130518234
linear,1.0,grupo3,2,1.0,0.5,0.6666666666666666
linear,10.0,grupo1,25,0.5384615384615384,0.84,0.6562499999999999
linear,10.0,grupo2,265,0.9801587301587301,0.9320754716981132,0.955512572533849
linear,10.0,grupo3,2,1.0,0.5,0.6666666666666666
rbf,0.1,grupo1,25,0.0,0.0,0.0
rbf,0.1,grupo2,265,0.9075342465753424,1.0,0.9515260323159784
rbf,0.1,grupo3,2,0.0,0.0,0.0
rbf,1.0,grupo1,25,0.8695652173913043,0.8,0.8333333333333333
rbf,1.0,grupo2,265,0.9739776951672863,0.9886792452830189,0.9812734082397004
rbf,1.0,grupo3,2,0.0,0.0,0.0
rbf,10.0,grupo1,25,0.875,0.84,0.8571428571428572
rbf,10.0,grupo2,265,0.9776119402985075,0.9886792452830189,0.9831144465290808
rbf,10.0,grupo3,2,0.0,0.0,0.0
