k,cluster,n,pct
2,0,769,0.5267123287671233
2,1,691,0.47328767123287674
3,0,706,0.48356164383561645
3,1,354,0.24246575342465754
3,2,400,0.273972602739726
4,0,351,0.2404109589041096
4,1,560,0.3835616438356164
4,2,219,0.15
4,3,330,0.22602739726027396
5,0,7,0.004794520547945206
5,1,389,0.26643835616438355
5,2,314,0.21506849315068494
5,3,366,0.25068493150684934
5,4,384,0.26301369863013696
6,0,63,0.04315068493150685
6,1,483,0.3308219178082192
6,2,7,0.004794520547945206
6,3,338,0.23150684931506849
6,4,359,0.2458904109589041
6,5,210,0.14383561643835616
7,0,275,0.18835616438356165
7,1,423,0.2897260273972603
7,2,116,0.07945205479452055
7,3,327,0.22397260273972602
7,4,7,0.004794520547945206
7,5,249,0.17054794520547945
7,6,63,0.04315068493150685
8,0,173,0.1184931506849315
8,1,440,0.3013698630136986
8,2,286,0.1958904109589041
8,3,139,0.09520547945205479
8,4,187,0.12808219178082192
8,5,7,0.004794520547945206
8,6,73,0.05
8,7,155,0.10616438356164383
9,0,168,0.11506849315068493
9,1,122,0.08356164383561644
9,2,63,0.04315068493150685
9,3,316,0.21643835616438356
9,4,330,0.22602739726027396
9,5,7,0.004794520547945206
9,6,2,0.0013698630136986301
9,7,320,0.2191780821917808
9,8,132,0.09041095890410959
10,0,150,0.10273972602739725
10,1,311,0.213013698630137
10,2,290,0.19863013698630136
10,3,135,0.09246575342465753
10,4,62,0.04246575342465753
10,5,7,0.004794520547945206
10,6,20,0.0136986301369863
10,7,183,0.12534246575342467
10,8,15,0.010273972602739725
10,9,287,0.19657534246575342
