variable,dtype,missing_count,estrategia_preprocesamiento
MSSubClass,int64,0,SimpleImputer(median) + StandardScaler
LotFrontage,float64,259,SimpleImputer(median) + StandardScaler
LotArea,int64,0,SimpleImputer(median) + StandardScaler
OverallQual,int64,0,SimpleImputer(median) + StandardScaler
OverallCond,int64,0,SimpleImputer(median) + StandardScaler
YearBuilt,int64,0,SimpleImputer(median) + StandardScaler
YearRemodAdd,int64,0,SimpleImputer(median) + StandardScaler
MasVnrArea,float64,8,SimpleImputer(median) + StandardScaler
BsmtFinSF1,int64,0,SimpleImputer(median) + StandardScaler
BsmtFinSF2,int64,0,SimpleImputer(median) + StandardScaler
BsmtUnfSF,int64,0,SimpleImputer(median) + StandardScaler
TotalBsmtSF,int64,0,SimpleImputer(median) + StandardScaler
1stFlrSF,int64,0,SimpleImputer(median) + StandardScaler
2ndFlrSF,int64,0,SimpleImputer(median) + StandardScaler
LowQualFinSF,int64,0,SimpleImputer(median) + StandardScaler
GrLivArea,int64,0,SimpleImputer(median) + StandardScaler
BsmtFullBath,int64,0,SimpleImputer(median) + StandardScaler
BsmtHalfBath,int64,0,SimpleImputer(median) + StandardScaler
FullBath,int64,0,SimpleImputer(median) + StandardScaler
HalfBath,int64,0,SimpleImputer(median) + StandardScaler
BedroomAbvGr,int64,0,SimpleImputer(median) + StandardScaler
KitchenAbvGr,int64,0,SimpleImputer(median) + StandardScaler
TotRmsAbvGrd,int64,0,SimpleImputer(median) + StandardScaler
Fireplaces,int64,0,SimpleImputer(median) + StandardScaler
GarageYrBlt,float64,81,SimpleImputer(median) + StandardScaler
GarageCars,int64,0,SimpleImputer(median) + StandardScaler
GarageArea,int64,0,SimpleImputer(median) + StandardScaler
WoodDeckSF,int64,0,SimpleImputer(median) + StandardScaler
OpenPorchSF,int64,0,SimpleImputer(median) + StandardScaler
EnclosedPorch,int64,0,SimpleImputer(median) + StandardScaler
3SsnPorch,int64,0,SimpleImputer(median) + StandardScaler
ScreenPorch,int64,0,SimpleImputer(median) + StandardScaler
PoolArea,int64,0,SimpleImputer(median) + StandardScaler
MiscVal,int64,0,SimpleImputer(median) + StandardScaler
MoSold,int64,0,SimpleImputer(median) + StandardScaler
YrSold,int64,0,SimpleImputer(median) + StandardScaler
