indice_original,cluster_kmeans,SalePrice
0,1,208500
1,0,181500
2,1,223500
3,0,140000
4,1,250000
5,0,143000
6,1,307000
7,1,200000
8,0,129900
9,0,118000
10,0,129500
11,1,345000
12,0,144000
13,1,279500
14,0,157000
15,0,132000
16,0,149000
17,0,90000
18,1,159000
19,0,139000
20,1,325300
21,0,139400
22,1,230000
23,0,129900
24,0,154000
25,1,256300
26,0,134800
27,1,306000
28,0,207500
29,0,68500
30,0,40000
31,0,149350
32,1,179900
33,0,165500
34,1,277500
35,1,309000
36,1,145000
37,0,153000
38,0,109000
39,0,82000
40,0,160000
41,0,170000
42,0,144000
43,0,130250
44,0,141000
45,1,319900
46,1,239686
47,1,249700
48,0,113000
49,0,127000
50,0,177000
51,0,114500
52,0,110000
53,1,385000
54,0,130000
55,1,180500
56,1,172500
57,1,196500
58,1,438780
59,0,124900
60,1,158000
61,0,101000
62,1,202500
63,0,140000
64,1,219500
65,1,317000
66,1,180000
67,1,226000
68,0,80000
69,1,225000
70,1,244000
71,0,129500
72,1,185000
73,0,144900
74,0,107400
75,0,91000
76,0,135750
77,0,127000
78,0,136500
79,0,110000
80,1,193500
81,1,153500
82,1,245000
83,0,126500
84,1,168500
85,1,260000
86,1,174000
87,1,164500
88,0,85000
89,0,123600
90,0,109900
91,0,98600
92,0,163500
93,0,133900
94,1,204750
95,1,185000
96,1,214000
97,0,94750
98,0,83000
99,0,128950
100,1,205000
101,1,178000
102,0,118964
103,1,198900
104,0,169500
105,1,250000
106,0,100000
107,0,115000
108,0,115000
109,1,190000
110,0,136900
111,1,180000
112,1,383970
113,1,217000
114,0,259500
115,1,176000
116,0,139000
117,0,155000
118,1,320000
119,1,163990
120,0,180000
121,0,100000
122,0,136000
123,1,153900
124,1,181000
125,0,84500
126,0,128000
127,0,87000
128,0,155000
129,0,150000
130,1,226000
131,1,244000
132,0,150750
133,1,220000
134,1,180000
135,1,174000
136,0,143000
137,1,171000
138,1,230000
139,1,231500
140,0,115000
141,1,260000
142,0,166000
143,1,204000
144,1,125000
145,1,130000
146,0,105000
147,1,222500
148,0,141000
149,0,115000
150,0,122000
151,1,372402
152,1,190000
153,0,235000
154,0,125000
155,0,79000
156,0,109500
157,1,269500
158,1,254900
159,1,320000
160,0,162500
161,1,412500
162,1,220000
163,0,103200
164,0,152000
165,0,127500
166,0,190000
167,1,325624
168,1,183500
169,1,228000
170,0,128500
171,1,215000
172,1,239000
173,0,163000
174,1,184000
175,1,243000
176,1,211000
177,0,172500
178,1,501837
179,0,100000
180,1,177000
181,0,200100
182,0,120000
183,1,200000
184,0,127000
185,1,475000
186,1,173000
187,0,135000
188,0,153337
189,1,286000
190,1,315000
191,0,184000
192,1,192000
193,1,130000
194,0,127000
195,0,148500
196,1,311872
197,1,235000
198,0,104000
