variable,cluster_0,cluster_1,diferencia_absoluta,diferencia_relativa
MSSubClass,50.0,60.0,10.0,0.2
LotFrontage,60.5,75.0,14.5,0.2396694214876033
LotArea,8712.0,10463.0,1751.0,0.20098714416896235
OverallQual,5.0,7.0,2.0,0.4
OverallCond,6.0,5.0,1.0,0.16666666666666666
YearBuilt,1956.0,2000.0,44.0,0.022494887525562373
YearRemodAdd,1970.0,2002.0,32.0,0.016243654822335026
MasVnrArea,0.0,94.0,94.0,0.0
BsmtFinSF1,348.0,457.0,109.0,0.3132183908045977
BsmtFinSF2,0.0,0.0,0.0,0.0
BsmtUnfSF,403.0,598.0,195.0,0.4838709677419355
TotalBsmtSF,880.0,1258.0,378.0,0.42954545454545456
1stFlrSF,971.0,1337.0,366.0,0.3769309989701339
2ndFlrSF,0.0,623.0,623.0,0.0
LowQualFinSF,0.0,0.0,0.0,0.0
GrLivArea,1152.0,1719.0,567.0,0.4921875
BsmtFullBath,0.0,0.0,0.0,0.0
BsmtHalfBath,0.0,0.0,0.0,0.0
FullBath,1.0,2.0,1.0,1.0
HalfBath,0.0,1.0,1.0,0.0
BedroomAbvGr,3.0,3.0,0.0,0.0
KitchenAbvGr,1.0,1.0,0.0,0.0
TotRmsAbvGrd,6.0,7.0,1.0,0.16666666666666666
Fireplaces,0.0,1.0,1.0,0.0
GarageYrBlt,1963.0,2001.0,38.0,0.01935812531839022
GarageCars,1.0,2.0,1.0,1.0
GarageArea,352.0,552.0,200.0,0.5681818181818182
WoodDeckSF,0.0,120.0,120.0,0.0
OpenPorchSF,0.0,51.0,51.0,0.0
EnclosedPorch,0.0,0.0,0.0,0.0
3SsnPorch,0.0,0.0,0.0,0.0
ScreenPorch,0.0,0.0,0.0,0.0
PoolArea,0.0,0.0,0.0,0.0
MiscVal,0.0,0.0,0.0,0.0
MoSold,6.0,6.0,0.0,0.0
YrSold,2008.0,2008.0,0.0,0.0
