variable,centroid_cluster_0_std,centroid_cluster_1_std,diferencia_std_abs
FullBath,-0.6954694572575382,0.7739739690753185,1.4694434263328566
OverallQual,-0.6455973212289005,0.7184722721056778,1.3640695933345781
YearBuilt,-0.6430741036024593,0.7156642339656895,1.3587383375681488
GarageYrBlt,-0.6033359397310433,0.6714404307571185,1.2747763704881616
GarageCars,-0.5795031000980027,0.6449173429455344,1.224420443043537
GrLivArea,-0.5517001425523735,0.61397599077102,1.1656761333233936
YearRemodAdd,-0.5397157868269178,0.6006388423587651,1.140354629185683
GarageArea,-0.5216228434155706,0.5805035695898304,1.1021264130054012
TotalBsmtSF,-0.43829431431900406,0.48776892577614245,0.9260632400951465
TotRmsAbvGrd,-0.42832718381910995,0.4766767067393551,0.905003890558465
1stFlrSF,-0.42481385638515806,0.4727667953114128,0.8975806516965709
OpenPorchSF,-0.3275599068027823,0.36453483115968244,0.6920947379624647
Fireplaces,-0.3156058796819681,0.3512314348414368,0.666837314523405
MasVnrArea,-0.30251644212473283,0.33666446308816317,0.6391809052128961
2ndFlrSF,-0.29106487101208256,0.3239202399541114,0.6149851109661939
