indice_original,cluster_hierarchical,SalePrice
0,0,208500
1,1,181500
2,0,223500
3,1,140000
4,0,250000
5,1,143000
6,0,307000
7,0,200000
8,1,129900
9,1,118000
10,1,129500
11,0,345000
12,1,144000
13,0,279500
14,1,157000
15,1,132000
16,1,149000
17,1,90000
18,1,159000
19,1,139000
20,0,325300
21,1,139400
22,0,230000
23,1,129900
24,1,154000
25,0,256300
26,1,134800
27,0,306000
28,1,207500
29,1,68500
30,1,40000
31,1,149350
32,0,179900
33,1,165500
34,0,277500
35,0,309000
36,1,145000
37,1,153000
38,1,109000
39,1,82000
40,1,160000
41,1,170000
42,1,144000
43,1,130250
44,1,141000
45,0,319900
46,1,239686
47,0,249700
48,1,113000
49,1,127000
50,1,177000
51,1,114500
52,1,110000
53,0,385000
54,1,130000
55,1,180500
56,1,172500
57,0,196500
58,0,438780
59,1,124900
60,1,158000
61,1,101000
62,0,202500
63,1,140000
64,0,219500
65,0,317000
66,0,180000
67,0,226000
68,1,80000
69,1,225000
70,0,244000
71,1,129500
72,1,185000
73,1,144900
74,1,107400
75,1,91000
76,1,135750
77,1,127000
78,1,136500
79,1,110000
80,1,193500
81,0,153500
82,0,245000
83,1,126500
84,0,168500
85,0,260000
86,0,174000
87,1,164500
88,1,85000
89,1,123600
90,1,109900
91,1,98600
92,1,163500
93,1,133900
94,0,204750
95,0,185000
96,0,214000
97,1,94750
98,1,83000
99,1,128950
100,0,205000
101,0,178000
102,1,118964
103,0,198900
104,1,169500
105,0,250000
106,1,100000
107,1,115000
108,1,115000
109,0,190000
110,1,136900
111,0,180000
112,1,383970
113,1,217000
114,1,259500
115,1,176000
116,1,139000
117,1,155000
118,0,320000
119,0,163990
120,1,180000
121,1,100000
122,1,136000
123,0,153900
124,0,181000
125,1,84500
126,0,128000
127,1,87000
128,0,155000
129,1,150000
130,0,226000
131,0,244000
132,1,150750
133,0,220000
134,0,180000
135,1,174000
136,1,143000
137,1,171000
138,0,230000
139,0,231500
140,1,115000
141,0,260000
142,1,166000
143,0,204000
144,1,125000
145,1,130000
146,1,105000
147,0,222500
148,1,141000
149,1,115000
150,1,122000
151,0,372402
152,0,190000
153,1,235000
154,1,125000
155,1,79000
156,1,109500
157,0,269500
158,0,254900
159,1,320000
160,0,162500
161,0,412500
162,0,220000
163,1,103200
164,1,152000
165,1,127500
166,1,190000
167,0,325624
168,0,183500
169,0,228000
170,1,128500
171,1,215000
172,1,239000
173,1,163000
174,0,184000
175,0,243000
176,0,211000
177,1,172500
178,0,501837
179,1,100000
180,1,177000
181,1,200100
182,1,120000
183,0,200000
184,1,127000
185,1,475000
186,0,173000
187,1,135000
188,1,153337
189,1,286000
190,1,315000
191,1,184000
192,0,192000
193,1,130000
194,1,127000
195,1,148500
196,0,311872
197,0,235000
198,1,104000
199,0,274900
200,0,140000
201,1,171500
202,1,112000
203,1,149000
204,1,110000
205,1,180500
206,1,143900
207,1,141000
208,1,277000
209,1,145000
210,1,98000
211,0,186000
212,0,252678
213,1,156000
214,0,161750
215,1,134450
216,0,210000
217,1,107000
218,1,311500
219,0,167240
220,0,204900
221,0,200000
222,0,179900
223,1,97000
224,0,386250
225,1,112000
226,0,290000
227,1,106000
228,1,125000
229,0,192500
230,1,148000
231,0,403000
232,1,94500
233,1,128200
234,0,216500
235,1,89500
236,0,185500
237,1,194500
238,0,318000
239,1,113000
240,0,262500
241,1,110500
242,1,79000
243,1,120000
244,0,205000
245,1,241500
246,1,137000
247,1,140000
248,0,180000
249,1,277000
250,1,76500
251,1,235000
252,0,173000
253,1,158000
254,1,145000
255,0,230000
256,0,207500
257,0,220000
258,1,231500
259,1,97000
260,1,176000
261,0,276000
