variable,cluster_0,cluster_1,diferencia_absoluta,diferencia_relativa
MSSubClass,60.0,50.0,10.0,0.16666666666666666
LotFrontage,75.0,63.0,12.0,0.16
LotArea,10411.0,8808.0,1603.0,0.15397176063778695
OverallQual,7.0,5.0,2.0,0.2857142857142857
OverallCond,5.0,6.0,1.0,0.2
YearBuilt,2002.0,1959.0,43.0,0.02147852147852148
YearRemodAdd,2003.0,1973.0,30.0,0.014977533699450823
MasVnrArea,100.0,0.0,100.0,1.0
BsmtFinSF1,459.5,360.0,99.5,0.21653971708378672
BsmtFinSF2,0.0,0.0,0.0,0.0
BsmtUnfSF,633.0,409.5,223.5,0.35308056872037913
TotalBsmtSF,1256.5,912.0,344.5,0.2741742936729009
1stFlrSF,1308.0,1004.0,304.0,0.2324159021406728
2ndFlrSF,658.0,0.0,658.0,1.0
LowQualFinSF,0.0,0.0,0.0,0.0
GrLivArea,1718.0,1230.0,488.0,0.2840512223515716
BsmtFullBath,0.0,0.0,0.0,0.0
BsmtHalfBath,0.0,0.0,0.0,0.0
FullBath,2.0,1.0,1.0,0.5
HalfBath,1.0,0.0,1.0,1.0
BedroomAbvGr,3.0,3.0,0.0,0.0
KitchenAbvGr,1.0,1.0,0.0,0.0
TotRmsAbvGrd,7.0,6.0,1.0,0.14285714285714285
Fireplaces,1.0,0.0,1.0,1.0
GarageYrBlt,2002.0,1966.0,36.0,0.017982017982017984
GarageCars,2.0,2.0,0.0,0.0
GarageArea,564.0,400.0,164.0,0.2907801418439716
WoodDeckSF,144.0,0.0,144.0,1.0
OpenPorchSF,54.0,0.0,54.0,1.0
EnclosedPorch,0.0,0.0,0.0,0.0
3SsnPorch,0.0,0.0,0.0,0.0
ScreenPorch,0.0,0.0,0.0,0.0
PoolArea,0.0,0.0,0.0,0.0
MiscVal,0.0,0.0,0.0,0.0
MoSold,6.0,6.0,0.0,0.0
YrSold,2008.0,2008.0,0.0,0.0
