variable,anomalo,normal
MSSubClass,70.0,50.0
LotFrontage,75.0,69.0
LotArea,13509.0,9375.0
OverallQual,6.0,6.0
OverallCond,5.0,5.0
YearBuilt,1959.5,1973.5
YearRemodAdd,1991.5,1994.0
MasVnrArea,0.0,0.0
BsmtFinSF1,495.5,382.0
BsmtFinSF2,0.0,0.0
BsmtUnfSF,657.0,473.5
TotalBsmtSF,1381.0,978.0
1stFlrSF,1442.0,1073.0
2ndFlrSF,939.0,0.0
LowQualFinSF,0.0,0.0
GrLivArea,2349.0,1438.5
BsmtFullBath,0.0,0.0
BsmtHalfBath,0.0,0.0
FullBath,2.0,2.0
HalfBath,0.0,0.0
BedroomAbvGr,4.0,3.0
KitchenAbvGr,1.0,1.0
TotRmsAbvGrd,9.5,6.0
Fireplaces,1.0,1.0
GarageYrBlt,1980.5,1980.0
GarageCars,2.0,2.0
GarageArea,562.0,475.5
WoodDeckSF,0.0,0.0
OpenPorchSF,45.0,24.0
EnclosedPorch,0.0,0.0
3SsnPorch,0.0,0.0
ScreenPorch,0.0,0.0
PoolArea,0.0,0.0
MiscVal,0.0,0.0
MoSold,6.0,6.0
YrSold,2007.5,2008.0
