indice_original,is_anomaly,prediction,anomaly_score,decision_function,SalePrice,GrLivArea,TotRmsAbvGrd,KitchenAbvGr,LotArea,1stFlrSF,2ndFlrSF,TotalBsmtSF,LowQualFinSF
1298,True,-1,0.6557328157580072,-0.15573281575800724,160000,5642,12,1,63887,4692,950,6110,0
691,True,-1,0.62531752064712,-0.12531752064711998,755000,4316,10,1,21535,2444,1872,2444,0
197,True,-1,0.6186784583880431,-0.11867845838804314,235000,3112,8,1,25419,1360,1360,1360,392
185,True,-1,0.6163650356810528,-0.11636503568105283,475000,3608,12,1,22950,1518,1518,1107,572
523,True,-1,0.6153376000880448,-0.11533760008804483,184750,4676,11,1,40094,3138,1538,3138,0
635,True,-1,0.5868022979902099,-0.08680229799020989,200000,3395,14,2,10896,1440,1440,1440,515
1386,True,-1,0.5850915170538808,-0.08509151705388085,250000,2784,12,1,16692,1392,1392,1392,0
769,True,-1,0.5758800917588521,-0.07588009175885213,538000,3279,12,1,53504,1690,1589,1650,0
1328,True,-1,0.5744022413910052,-0.07440224139100515,256000,2792,8,1,10440,1584,1208,1510,0
1182,True,-1,0.5695544180121418,-0.0695544180121418,745000,4476,10,1,15623,2411,2065,2396,0
53,True,-1,0.5661965087996088,-0.06619650879960881,385000,1842,5,1,50271,1842,0,1842,0
1173,True,-1,0.564524043236154,-0.06452404323615402,200500,3086,12,1,18030,1636,971,1598,479
529,True,-1,0.558375314392498,-0.05837531439249799,200624,2515,9,2,32668,2515,0,2035,0
1169,True,-1,0.5578677939338853,-0.0578677939338853,625000,3627,10,1,35760,1831,1796,1930,0
1350,True,-1,0.5572425468114389,-0.05724254681143892,200000,2634,12,2,11643,1338,1296,1248,0
335,True,-1,0.5552299542773435,-0.05522995427734345,228950,1786,7,1,164660,1619,167,1499,0
313,True,-1,0.5509224705736354,-0.050922470573635414,375000,2036,8,1,215245,2036,0,2136,0
496,True,-1,0.5489496781350877,-0.04894967813508766,430000,3228,10,1,12692,3228,0,3200,0
803,True,-1,0.5448863277008446,-0.04488632770084455,582933,2822,12,1,13891,1734,1088,1734,0
921,True,-1,0.5440902523270549,-0.04409025232705488,145900,2200,9,2,8777,1272,928,1272,0
