variable,dtype,missing_count,preprocessing
MSSubClass,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
LotFrontage,float64,259,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
LotArea,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
OverallQual,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
OverallCond,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
YearBuilt,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
YearRemodAdd,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
MasVnrArea,float64,8,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
BsmtFinSF1,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
BsmtFinSF2,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
BsmtUnfSF,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
TotalBsmtSF,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
1stFlrSF,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
2ndFlrSF,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
LowQualFinSF,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
GrLivArea,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
BsmtFullBath,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
BsmtHalfBath,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
FullBath,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
HalfBath,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
BedroomAbvGr,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
KitchenAbvGr,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
TotRmsAbvGrd,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
Fireplaces,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
GarageYrBlt,float64,81,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
GarageCars,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
GarageArea,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
WoodDeckSF,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
OpenPorchSF,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
EnclosedPorch,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
3SsnPorch,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
ScreenPorch,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
PoolArea,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
MiscVal,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
MoSold,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
YrSold,int64,0,SimpleImputer(strategy='median'); sin escalado en Isolation Forest
