state,row,col,best_action,best_action_name,best_q_value
0,0,0,2,down,3.213428124999976
1,0,1,1,right,4.430747629046312
2,0,2,1,right,5.7203279018380595
3,0,3,2,down,7.074889784510593
4,1,0,1,right,4.4351874999999765
5,1,1,2,down,5.72124999999998
6,1,2,1,right,7.068469693385164
7,1,3,2,down,8.499999715605608
8,2,0,1,right,5.721091889724292
9,2,1,2,down,7.074999999999983
10,2,2,1,right,8.49979485594329
11,2,3,2,down,9.999999999923979
12,3,0,1,right,7.062520617932758
13,3,1,1,right,8.499999999999986
14,3,2,1,right,9.999999999999993
15,3,3,0,up,0.0
