episode,total_reward,steps,epsilon,reached_goal
1,-100.0,100,1.0,False
2,-66.0,77,0.995,True
3,-21.0,32,0.990025,True
4,-80.0,91,0.985074875,True
5,-18.0,29,0.9801495006250001,True
6,-13.0,24,0.9752487531218751,True
7,-16.0,27,0.9703725093562657,True
8,-3.0,14,0.9655206468094844,True
9,-73.0,84,0.960693043575437,True
10,-47.0,58,0.9558895783575597,True
11,-24.0,35,0.9511101304657719,True
12,1.0,10,0.946354579813443,True
13,-2.0,13,0.9416228069143757,True
14,4.0,7,0.9369146928798039,True
15,-6.0,17,0.9322301194154049,True
16,-22.0,33,0.9275689688183278,True
17,-13.0,24,0.9229311239742362,True
18,-19.0,30,0.918316468354365,True
19,-6.0,17,0.9137248860125932,True
20,-36.0,47,0.9091562615825302,True
21,-18.0,29,0.9046104802746175,True
22,-18.0,29,0.9000874278732445,True
23,-35.0,46,0.8955869907338783,True
24,-30.0,41,0.8911090557802088,True
25,-36.0,47,0.8866535105013078,True
26,1.0,10,0.8822202429488013,True
27,0.0,11,0.8778091417340573,True
28,-33.0,44,0.8734200960253871,True
29,3.0,8,0.8690529955452602,True
30,-21.0,32,0.8647077305675338,True
31,4.0,7,0.8603841919146962,True
32,-79.0,90,0.8560822709551227,True
33,3.0,8,0.851801859600347,True
34,-8.0,19,0.8475428503023453,True
35,-7.0,18,0.8433051360508336,True
36,-5.0,16,0.8390886103705794,True
37,-6.0,17,0.8348931673187264,True
38,1.0,10,0.8307187014821328,True
39,-21.0,32,0.8265651079747222,True
40,-48.0,59,0.8224322824348486,True
41,-5.0,16,0.8183201210226743,True
42,-7.0,18,0.8142285204175609,True
43,-52.0,63,0.810157377815473,True
44,1.0,10,0.8061065909263957,True
45,-15.0,26,0.8020760579717637,True
46,-7.0,18,0.798065677681905,True
47,-4.0,15,0.7940753492934954,True
48,-16.0,27,0.7901049725470279,True
49,-4.0,15,0.7861544476842928,True
50,-6.0,17,0.7822236754458713,True
51,2.0,9,0.778312557068642,True
52,-3.0,14,0.7744209942832988,True
53,-15.0,26,0.7705488893118823,True
54,-13.0,24,0.7666961448653229,True
55,3.0,8,0.7628626641409962,True
56,2.0,9,0.7590483508202912,True
57,-22.0,33,0.7552531090661897,True
58,-11.0,22,0.7514768435208588,True
59,-15.0,26,0.7477194593032545,True
60,-4.0,15,0.7439808620067382,True
61,-4.0,15,0.7402609576967045,True
62,2.0,9,0.736559652908221,True
63,5.0,6,0.7328768546436799,True
64,2.0,9,0.7292124703704616,True
65,-7.0,18,0.7255664080186093,True
66,0.0,11,0.7219385759785162,True
67,-19.0,30,0.7183288830986236,True
68,1.0,10,0.7147372386831305,True
69,-26.0,37,0.7111635524897149,True
70,-1.0,12,0.7076077347272662,True
71,-1.0,12,0.7040696960536299,True
72,-13.0,24,0.7005493475733617,True
73,-3.0,14,0.697046600835495,True
74,-1.0,12,0.6935613678313175,True
75,-19.0,30,0.6900935609921609,True
76,-17.0,28,0.6866430931872001,True
77,-13.0,24,0.6832098777212641,True
78,3.0,8,0.6797938283326578,True
79,-10.0,21,0.6763948591909945,True
80,-15.0,26,0.6730128848950395,True
81,4.0,7,0.6696478204705644,True
82,-9.0,20,0.6662995813682115,True
83,2.0,9,0.6629680834613705,True
84,1.0,10,0.6596532430440636,True
85,-4.0,15,0.6563549768288433,True
86,-5.0,16,0.653073201944699,True
87,-2.0,13,0.6498078359349755,True
88,-3.0,14,0.6465587967553006,True
89,-9.0,20,0.6433260027715241,True
90,-5.0,16,0.6401093727576664,True
91,3.0,8,0.6369088258938781,True
92,-3.0,14,0.6337242817644086,True
93,-8.0,19,0.6305556603555866,True
94,-9.0,20,0.6274028820538087,True
95,-4.0,15,0.6242658676435396,True
96,4.0,7,0.6211445383053219,True
97,-19.0,30,0.6180388156137953,True
98,-6.0,17,0.6149486215357263,True
99,4.0,7,0.6118738784280476,True
100,-1.0,12,0.6088145090359074,True
101,2.0,9,0.6057704364907278,True
102,1.0,10,0.6027415843082742,True
103,4.0,7,0.5997278763867329,True
104,-20.0,31,0.5967292370047992,True
105,1.0,10,0.5937455908197752,True
106,5.0,6,0.5907768628656763,True
107,5.0,6,0.5878229785513479,True
108,0.0,11,0.5848838636585911,True
109,5.0,6,0.5819594443402982,True
110,2.0,9,0.5790496471185967,True
111,-11.0,22,0.5761543988830038,True
112,3.0,8,0.5732736268885887,True
113,-10.0,21,0.5704072587541458,True
114,-6.0,17,0.567555222460375,True
115,3.0,8,0.5647174463480732,True
116,3.0,8,0.5618938591163328,True
117,3.0,8,0.5590843898207511,True
118,-15.0,26,0.5562889678716474,True
119,2.0,9,0.5535075230322891,True
120,-8.0,19,0.5507399854171277,True
121,1.0,10,0.547986285490042,True
122,5.0,6,0.5452463540625918,True
123,5.0,6,0.5425201222922789,True
124,-12.0,23,0.5398075216808175,True
125,5.0,6,0.5371084840724134,True
126,3.0,8,0.5344229416520513,True
127,-6.0,17,0.531750826943791,True
128,1.0,10,0.5290920728090721,True
129,3.0,8,0.5264466124450268,True
130,5.0,6,0.5238143793828016,True
131,5.0,6,0.5211953074858876,True
132,-20.0,31,0.5185893309484582,True
133,-1.0,12,0.5159963842937159,True
134,3.0,8,0.5134164023722473,True
135,-3.0,14,0.510849320360386,True
136,4.0,7,0.5082950737585841,True
137,3.0,8,0.5057535983897912,True
138,-13.0,24,0.5032248303978422,True
139,-19.0,30,0.500708706245853,True
140,2.0,9,0.4982051627146237,True
141,-7.0,18,0.49571413690105054,True
142,3.0,8,0.4932355662165453,True
143,-4.0,15,0.4907693883854626,True
144,-2.0,13,0.4883155414435353,True
145,3.0,8,0.4858739637363176,True
146,5.0,6,0.483444593917636,True
147,4.0,7,0.4810273709480478,True
148,3.0,8,0.47862223409330756,True
149,4.0,7,0.47622912292284103,True
150,-12.0,23,0.4738479773082268,True
151,5.0,6,0.47147873742168567,True
152,3.0,8,0.46912134373457726,True
153,-4.0,15,0.46677573701590436,True
154,-11.0,22,0.46444185833082485,True
155,3.0,8,0.46211964903917074,True
156,-3.0,14,0.4598090507939749,True
157,3.0,8,0.457510005540005,True
158,-6.0,17,0.45522245551230495,True
159,2.0,9,0.4529463432347434,True
160,2.0,9,0.4506816115185697,True
161,2.0,9,0.4484282034609769,True
162,0.0,11,0.446186062443672,True
163,1.0,10,0.4439551321314536,True
164,1.0,10,0.4417353564707963,True
165,4.0,7,0.43952667968844233,True
166,-1.0,12,0.43732904629000013,True
167,0.0,11,0.4351424010585501,True
168,1.0,10,0.43296668905325736,True
169,5.0,6,0.43080185560799106,True
170,-1.0,12,0.4286478463299511,True
171,5.0,6,0.42650460709830135,True
172,2.0,9,0.42437208406280985,True
173,3.0,8,0.4222502236424958,True
174,-4.0,15,0.42013897252428334,True
175,1.0,10,0.4180382776616619,True
176,2.0,9,0.4159480862733536,True
177,2.0,9,0.41386834584198684,True
178,2.0,9,0.4117990041127769,True
179,5.0,6,0.40974000909221303,True
180,5.0,6,0.40769130904675194,True
181,-7.0,18,0.40565285250151817,True
182,2.0,9,0.4036245882390106,True
183,3.0,8,0.4016064652978155,True
184,5.0,6,0.3995984329713264,True
185,-2.0,13,0.3976004408064698,True
186,5.0,6,0.39561243860243744,True
187,4.0,7,0.3936343764094253,True
188,3.0,8,0.39166620452737816,True
189,-1.0,12,0.3897078735047413,True
190,3.0,8,0.3877593341372176,True
191,5.0,6,0.3858205374665315,True
192,3.0,8,0.38389143477919885,True
193,-1.0,12,0.3819719776053028,True
194,5.0,6,0.3800621177172763,True
195,5.0,6,0.37816180712868996,True
196,-5.0,16,0.37627099809304654,True
197,3.0,8,0.3743896431025813,True
198,-7.0,18,0.37251769488706843,True
199,3.0,8,0.3706551064126331,True
200,4.0,7,0.36880183088056995,True
201,-1.0,12,0.3669578217261671,True
202,1.0,10,0.36512303261753626,True
203,3.0,8,0.3632974174544486,True
204,5.0,6,0.3614809303671764,True
205,5.0,6,0.3596735257153405,True
206,3.0,8,0.3578751580867638,True
207,-2.0,13,0.35608578229633,True
208,2.0,9,0.3543053533848483,True
209,2.0,9,0.35253382661792404,True
210,5.0,6,0.3507711574848344,True
211,2.0,9,0.34901730169741024,True
212,4.0,7,0.3472722151889232,True
213,1.0,10,0.3455358541129786,True
214,1.0,10,0.3438081748424137,True
215,5.0,6,0.3420891339682016,True
216,4.0,7,0.3403786882983606,True
217,1.0,10,0.3386767948568688,True
218,4.0,7,0.33698341088258443,True
219,-3.0,14,0.3352984938281715,True
220,3.0,8,0.33362200135903064,True
221,2.0,9,0.33195389135223546,True
222,1.0,10,0.3302941218954743,True
223,-2.0,13,0.32864265128599696,True
224,5.0,6,0.326999438029567,True
225,1.0,10,0.3253644408394192,True
226,-7.0,18,0.3237376186352221,True
227,0.0,11,0.322118930542046,True
228,2.0,9,0.32050833588933575,True
229,2.0,9,0.31890579420988907,True
230,5.0,6,0.3173112652388396,True
231,5.0,6,0.3157247089126454,True
232,4.0,7,0.3141460853680822,True
233,0.0,11,0.3125753549412418,True
234,-1.0,12,0.31101247816653554,True
235,5.0,6,0.30945741577570285,True
236,2.0,9,0.3079101286968243,True
237,2.0,9,0.3063705780533402,True
238,2.0,9,0.30483872516307353,True
239,0.0,11,0.3033145315372582,True
240,4.0,7,0.3017979588795719,True
241,-3.0,14,0.30028896908517405,True
242,0.0,11,0.2987875242397482,True
243,5.0,6,0.29729358661854943,True
244,2.0,9,0.29580711868545667,True
245,0.0,11,0.2943280830920294,True
246,3.0,8,0.29285644267656924,True
247,5.0,6,0.2913921604631864,True
248,5.0,6,0.28993519966087045,True
249,3.0,8,0.2884855236625661,True
250,2.0,9,0.28704309604425327,True
251,1.0,10,0.285607880564032,True
252,-2.0,13,0.28417984116121187,True
